Age,Education,Marital_Status,Income,Spending,Loyalty_Duration,Children,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,WebPurchaes,CatalogPurchases,StorePurchases,NumWebVisitsMonth,Income_group,Age_group,Loyalty_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment,Total_Spending_segment
57,Postgraduate,Alone,58138.0,1617,25.333333333333332,0,58,635,88,546,172,88,88,3,8,10,4,7,Medium to high income,Mature,Loyal customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
60,Postgraduate,Alone,46344.0,27,7.0,2,38,11,1,6,2,1,6,2,1,1,2,5,Low to medium income,Mature,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
49,Postgraduate,In relationship,71613.0,776,13.633333333333333,0,26,426,49,127,111,21,42,1,8,2,10,4,High income,Mature,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
30,Postgraduate,In relationship,26646.0,53,7.866666666666666,1,26,11,4,20,10,3,5,2,2,0,4,6,Low income,Adult,New customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
33,Postgraduate,In relationship,58293.0,422,8.6,1,94,173,43,118,46,27,15,5,5,3,6,5,Medium to high income,Adult,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
47,Postgraduate,In relationship,62513.0,716,13.0,1,16,520,42,98,0,42,14,2,6,4,10,6,Medium to high income,Mature,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer
43,Postgraduate,Alone,55635.0,590,23.0,1,34,235,65,164,50,49,27,4,7,3,7,6,Medium to high income,Adult,Loyal customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
29,Postgraduate,In relationship,33454.0,169,17.133333333333333,1,32,76,10,56,3,1,23,2,4,0,4,8,Low income,Young,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
40,Postgraduate,In relationship,30351.0,46,16.166666666666668,1,19,14,0,24,3,3,2,1,3,0,2,9,Low income,Adult,Experienced customers,Low consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer
64,Postgraduate,In relationship,5648.0,49,6.833333333333333,2,68,28,0,6,1,1,13,1,1,0,0,20,Low income,Mature,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
38,Undergraduate,In relationship,7500.0,61,23.0,0,59,6,16,11,11,1,16,1,2,0,3,8,Low income,Adult,Loyal customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
55,Postgraduate,Alone,63033.0,1102,10.766666666666667,0,82,194,61,480,225,112,30,1,3,4,8,2,Medium to high income,Mature,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
62,Postgraduate,Alone,59354.0,310,10.766666666666667,2,53,233,2,53,3,5,14,3,6,1,5,6,Medium to high income,Mature,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
27,Postgraduate,In relationship,17323.0,46,24.133333333333333,0,38,3,14,17,6,1,5,1,1,0,3,8,Low income,Young,Loyal customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer
68,Postgraduate,Alone,82800.0,1315,22.633333333333333,0,23,1006,22,115,59,68,45,1,7,6,12,3,High income,Senior,Loyal customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
34,Postgraduate,In relationship,41850.0,96,21.633333333333333,2,51,53,5,19,2,13,4,3,3,0,3,8,Low to medium income,Adult,Loyal customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
68,Postgraduate,In relationship,37760.0,317,25.466666666666665,0,20,84,5,38,150,12,28,2,4,1,6,7,Low to medium income,Senior,Loyal customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
65,Postgraduate,In relationship,76995.0,1782,18.5,1,91,1012,80,498,0,16,176,2,11,4,9,5,High income,Mature,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer,Biggest consumer
29,Postgraduate,Alone,33812.0,133,23.333333333333332,1,86,4,17,19,30,24,39,2,2,1,3,6,Low income,Young,Loyal customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
32,Postgraduate,In relationship,37040.0,316,26.233333333333334,0,41,86,2,73,69,38,48,1,4,2,5,8,Low to medium income,Adult,Loyal customers,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
35,Postgraduate,In relationship,2447.0,1730,21.2,1,42,1,1,1725,1,1,1,15,0,28,0,1,Low income,Adult,Loyal customers,Low consumer,Low consumer,Biggest consumer,Low consumer,Low consumer,Low consumer,Biggest consumer
65,Postgraduate,In relationship,58607.0,972,21.666666666666668,1,63,867,0,86,0,0,19,3,2,3,9,8,Medium to high income,Mature,Loyal customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer,Frequent consumer
60,Postgraduate,In relationship,65324.0,544,8.866666666666667,1,0,384,0,102,21,32,5,3,6,2,9,4,Medium to high income,Mature,New customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
63,Postgraduate,In relationship,40689.0,444,18.833333333333332,1,69,270,3,27,39,6,99,7,7,1,5,8,Low to medium income,Mature,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
45,Postgraduate,Alone,18589.0,75,21.333333333333332,0,89,6,4,25,15,12,13,2,2,1,3,7,Low income,Adult,Loyal customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
38,Postgraduate,In relationship,53359.0,257,16.5,2,4,173,4,30,3,6,41,4,5,1,4,7,Medium to high income,Adult,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
